Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Web of Science,A Detailed Assessment of Global Cu Resource Trends and Endowments,Mudd et al.,"Mudd, Gavin M.; Weng, Zhehan; Jowitt, Simon M.",ECONOMIC GEOLOGY,2013,108,5,10.2113/econgeo.108.5.1163,182,Exclude,,
Web of Science,Abrupt climate change: can society cope?,Hulme,"Hulme, M",PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2003,361,1810,10.1098/rsta.2003.1239,183,Exclude,,
Web of Science,A cognition-based view of decision processes in complex social-ecological systems,Beratan et al.,"Beratan, Kathi K.",ECOLOGY AND SOCIETY,2007,12,1,NA,184,Exclude,,
Web of Science,Hydrology: The interdisciplinary science of water,Vogel et al.,"Vogel, Richard M.; Lall, Upmanu; Cai, Ximing; Rajagopalan, Balaji; Weiskel, Peter K.; Hooper, Richard P.; Matalas, Nicholas C.",WATER RESOURCES RESEARCH,2015,51,6,10.1002/2015WR017049,185,Exclude,,
Web of Science,A Detailed Assessment of Global Rare Earth Element Resources: Opportunities and Challenges,Weng et al.,"Weng, Zhehan; Jowitt, Simon M.; Mudd, Gavin M.; Haque, Nawshad",ECONOMIC GEOLOGY,2015,110,8,10.2113/econgeo.110.8.1925,186,Exclude,,
Web of Science,"Climate change, nutrient pollution and the bargain of Dr Faustus",Moss,"Moss, Brian",FRESHWATER BIOLOGY,2010,55,NA,10.1111/j.1365-2427.2009.02381.x,187,Exclude,,
Web of Science,Human interactions with the Earth system: people and pixels revisited,Liverman and Roman,"Liverman, Diana M.; Cuesta, Rosa Maria Roman",EARTH SURFACE PROCESSES AND LANDFORMS,2008,33,9,10.1002/esp.1715,188,Follow Up,,Commentary
Web of Science,Sustainable development and its implications for chemical engineering,Clift,"Clift, Roland",CHEMICAL ENGINEERING SCIENCE,2006,61,13,10.1016/j.ces.2005.10.017,189,Exclude,,
Web of Science,"Fourier's heat conduction equation: History, influence, and connections",Narasimhan et al.,"Narasimhan, TN",REVIEWS OF GEOPHYSICS,1999,37,1,10.1029/1998RG900006,190,Exclude,,
Web of Science,Climate change threats to population health and well-being: the imperative of protective solutions that will last,Kjellstrom et al.,"Kjellstrom, Tord; McMichael, Anthony J.",GLOBAL HEALTH ACTION,2013,6,NA,10.3402/gha.v6i0.20816,191,Exclude,,One-way coupling
Web of Science,Ocean acidification risk assessment for Alaska's fishery sector,Mathis et al.,"Mathis, J. T.; Cooley, S. R.; Lucey, N.; Colt, S.; Ekstrom, J.; Hurst, T.; Hauri, C.; Evans, W.; Cross, J. N.; Feely, R. A.",PROGRESS IN OCEANOGRAPHY,2015,136,NA,10.1016/j.pocean.2014.07.001,192,Exclude,,One-way coupling
Web of Science,Dynamics and Resilience of Rangelands and Pastoral Peoples Around the Globe,Reid et al.,"Reid, Robin S.; Fernandez-Gimenez, Maria E.; Galvin, Kathleen A.","ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES, VOL 39",2014,39,NA,10.1146/annurev-environ-020713-163329,193,Exclude,,
Web of Science,Model of the Regional Coupled Earth system (MORCE): Application to process and climate studies in vulnerable regions,Drobinski et al.,"Drobinski, Philippe; Anav, Alesandro; Lebeaupin Brossier, Cindy; Samson, Guillaume; Stefanon, Marc; Bastin, Sophie; Baklouti, Melika; Beranger, Karine; Beuvier, Jonathan; Bourdalle-Badie, Romain; Coquart, Laure; D'Andrea, Fabio; de Noblet-Ducoudre, Nathalie; Diaz, Frederic; Dutay, Jean-Claude; Ethe, Christian; Foujols, Marie-Alice; Khvorostyanov, Dmitry; Madec, Gurvan; Mancip, Martial; Masson, Sebastien; Menut, Laurent; Palmieri, Julien; Polcher, Jan; Turquety, Solene; Valcke, Sophie; Viovy, Nicolas",ENVIRONMENTAL MODELLING & SOFTWARE,2012,35,NA,10.1016/j.envsoft.2012.01.017,194,Follow Up,,Linking tool
Web of Science,Toward an Integrated History to Guide the Future,van der Leeuw et al.,"van der Leeuw, Sander; Costanza, Robert; Aulenbach, Steve; Brewer, Simon; Burek, Michael; Cornell, Sarah; Crumley, Carole; Dearing, John A.; Downy, Catherine; Graumlich, Lisa J.; Heckbert, Scott; Hegmon, Michelle; Hibbard, Kathy; Jackson, Stephen T.; Kubiszewski, Ida; Sinclair, Paul; Sorlin, Sverker; Steffen, Will",ECOLOGY AND SOCIETY,2011,16,4,10.5751/ES-04341-160402,195,Exclude,,
Web of Science,Integrated energy monitoring and visualization system for Smart Green City development Designing a spatial information integrated energy monitoring model in the context of massive data management on a web based platform,Kim et al.,"Kim, Sung Ah; Shin, Dongyoun; Choe, Yoon; Seibert, Thomas; Walz, Steffen P.",AUTOMATION IN CONSTRUCTION,2012,22,NA,10.1016/j.autcon.2011.07.004,196,Exclude,,
Web of Science,"Science, systems and geomorphologies: why LESS may be more",Richard et al.,"Richards, Keith; Clifford, Nicholas",EARTH SURFACE PROCESSES AND LANDFORMS,2008,33,9,10.1002/esp.1718,197,Exclude,,
Web of Science,Heterogeneity explains features of anomalous thermodynamics and statistics,Gheorghiu et al.,"Gheorghiu, S; Coppens, MO",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2004,101,45,10.1073/pnas.0407191101,198,Exclude,,
Web of Science,Enhanced weathering strategies for stabilizing climate and averting ocean acidification,Taylor et al.,"Taylor, Lyla L.; Quirk, Joe; Thorley, Rachel M. S.; Kharecha, Pushker A.; Hansen, James; Ridgwell, Andy; Lomas, Mark R.; Banwart, Steve A.; Beerling, David J.",NATURE CLIMATE CHANGE,2016,6,4,10.1038/NCLIMATE2882,199,Exclude,,
Web of Science,Quantitative Analysis of VIIRS DNB Nightlight Point Source for Light Power Estimation and Stability Monitoring,Cao et al.,"Cao, Changyong; Bai, Yan",REMOTE SENSING,2014,6,12,10.3390/rs61211915,200,Exclude,,
Web of Science,Analysis of temperature time-series: Embedding dynamics into the MDS method,Lopes et al.,"Lopes, Antonio M.; Tenreiro Machado, J. A.",COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION,2014,19,4,10.1016/j.cnsns.2013.08.031,201,Exclude,,
Web of Science,A virtual tour of geological heritage: Valourising geodiversity using Google Earth and QR code,Martinez-Grana et al.,"Martinez-Grana, A. M.; Goy, J. L.; Cimarra, C. A.",COMPUTERS & GEOSCIENCES,2013,61,NA,10.1016/j.cageo.2013.07.020,202,Exclude,,
Web of Science,Scientific big data and Digital Earth,Guo et al.,"Guo, Huadong; Wang, Lizhe; Chen, Fang; Liang, Dong",CHINESE SCIENCE BULLETIN,2014,59,35,10.1007/s11434-014-0645-3,203,Exclude,,
Web of Science,Big Data and cloud computing: innovation opportunities and challenges,Yang et al.,"Yang, Chaowei; Huang, Qunying; Li, Zhenlong; Liu, Kai; Hu, Fei",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2017,10,1,10.1080/17538947.2016.1239771,204,Exclude,,
Web of Science,Domestication as a model system for niche construction theory,Zeder et al.,"Zeder, Melinda A.",EVOLUTIONARY ECOLOGY,2016,30,2,10.1007/s10682-015-9801-8,205,Exclude,,
Web of Science,"The semi-arid integrated model (SIM), a regional integrated model assessing water availability, vulnerability of ecosystems and society in NE-Brazil",Krol et al.,"Krol, MS; Jaeger, A; Bronstert, A; Krywkow, J",PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE,2001,26,8-Jul,10.1016/S1464-1909(01)00045-4,206,Exclude,,
Web of Science,"The Mexican Drought Atlas: Tree-ring reconstructions of the soil moisture balance during the late pre-Hispanic, colonial, and modern eras",Stahle et al.,"Stahle, David W.; Cook, Edward R.; Burnette, Dorian J.; Villanueva, Jose; Cerano, Julian; Burns, Jordan N.; Griffin, Daniel; Cook, Benjamin I.; Acuna, Rodolfo; Torbenson, Max C. A.; Szejner, Paul; Howard, Ian M.",QUATERNARY SCIENCE REVIEWS,2016,149,NA,10.1016/j.quascirev.2016.06.018,207,Exclude,,
Web of Science,The development of a geospatial data Grid by integrating OGC Web services with Globus-based Grid technology,Di et al.,"Di, Liping; Chen, Aijun; Yang, Wenli; Liu, Yang; Wei, Yaxing; Mehrotra, Piyush; Hu, Chaumin; Williams, Dean",CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,2008,20,14,10.1002/cpe.1292,208,Exclude,,
Web of Science,Pan-European distribution modelling of stream riparian zones based on multi-source Earth Observation data,Clerici et al.,"Clerici, Nicola; Weissteiner, Christof J.; Paracchini, Maria Luisa; Boschetti, Luigi; Baraldi, Andrea; Strobl, Peter",ECOLOGICAL INDICATORS,2013,24,NA,10.1016/j.ecolind.2012.06.002,209,Exclude,,
Web of Science,Investigation of general indicators influencing on forest fire and its susceptibility modeling using different data mining techniques,Pourtaghi et al.,"Pourtaghi, Zohre Sadat; Pourghasemi, Hamid Reza; Aretano, Roberta; Semeraro, Teodoro",ECOLOGICAL INDICATORS,2016,64,NA,10.1016/j.ecolind.2015.12.030,210,Exclude,,
Web of Science,Efficient Assessment of Social Hotspots in the Supply Chains of 100 Product Categories Using the Social Hotspots Database,Norris et al.,"Norris, Catherine Benoit; Norris, Gregory A.; Aulisio, Deana",SUSTAINABILITY,2014,6,10,10.3390/su6106973,211,Exclude,,
Web of Science,"Social vulnerability assessment to seismic risk using multicriteria analysis: the case study of Vila Franca do Campo (So Miguel Island, Azores, Portugal)",Nuno Martins et al.,"Nuno Martins, V.; Sousa e Silva, Delta; Cabral, Pedro",NATURAL HAZARDS,2012,62,2,10.1007/s11069-012-0084-x,212,Exclude,,
Web of Science,Hydrology: the changing paradigm,Clifford,"Clifford, NJ",PROGRESS IN PHYSICAL GEOGRAPHY,2002,26,2,10.1191/0309133302pp337pr,213,Exclude,,
Web of Science,Towards a living earth simulator,Paolucci et al.,"Paolucci, M.; Kossman, D.; Conte, R.; Lukowicz, P.; Argyrakis, P.; Blandford, A.; Bonelli, G.; Anderson, S.; de Freitas, S.; Edmonds, B.; Gilbert, N.; Gross, M.; Kohlhammer, J.; Koumoutsakos, P.; Krause, A.; Linner, B. -O.; Slusallek, P.; Sorkine, O.; Sumner, R. W.; Helbing, D.",EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,2012,214,1,10.1140/epjst/e2012-01689-8,214,Exclude,,
Web of Science,The framework of a geospatial semantic web-based spatial decision support system for Digital Earth,Zhang et al.,"Zhang, Chuanrong; Zhao, Tian; Li, Weidong",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2010,3,2,10.1080/17538940903373803,215,Exclude,,
Web of Science,GIS-based assessment of the threat to world forests by patterns of non-sustainable civilisation nature interaction,Cassel-Gintz et al.,"Cassel-Gintz, M; Petschel-Held, G",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2000,59,4,10.1006/jema.2000.0370,216,Exclude,,
Web of Science,Aggregated indicator to assess land use impacts in life cycle assessment (LCA) based on the economic value of ecosystem services,Cao et al.,"Cao, Viet; Margni, Manuele; Favis, Basil D.; Deschenes, Louise",JOURNAL OF CLEANER PRODUCTION,2015,94,NA,10.1016/j.jclepro.2015.01.041,217,Exclude,,
Web of Science,The role of data assimilation in predictive ecology,Niu et al.,"Niu, Shuli; Luo, Yiqi; Dietze, Michael C.; Keenan, Trevor F.; Shi, Zheng; Li, Jianwei; Chapin, F. Stuart, III",ECOSPHERE,2014,5,5,10.1890/ES13-00273.1,218,Exclude,,
Web of Science,A continuous bi-level model for the expansion of highway networks,Angulo et al.,"Angulo, Eusebio; Castillo, Enrique; Garcia-Rodenas, Ricardo; Sanchez-Vizcaino, Jesus",COMPUTERS & OPERATIONS RESEARCH,2014,41,NA,10.1016/j.cor.2013.02.022,219,Exclude,,
Web of Science,Valuing climate impacts in integrated assessment models: the MIT IGSM,Reilly et al.,"Reilly, John; Paltsev, Sergey; Strzepek, Ken; Selin, Noelle E.; Cai, Yongxia; Nam, Kyung-Min; Monier, Erwan; Dutkiewicz, Stephanie; Scott, Jeffery; Webster, Mort; Sokolov, Andrei",CLIMATIC CHANGE,2013,117,3,10.1007/s10584-012-0635-x,220,Exclude,,One-way coupling
Web of Science,What Every Conservation Biologist Should Know about Economic Theory,Gowdy et al.,"Gowdy, John; Hall, Charles; Klitgaard, Kent; Krall, Lisi",CONSERVATION BIOLOGY,2010,24,6,10.1111/j.1523-1739.2010.01563.x,221,Exclude,,
Web of Science,Measurement of ecological capital of Chinese terrestrial ecosystem based on remote sensing,Pan et al.,"Pan, YZ; Shi, PJ; Zhu, WQ; Gu, XH; Fan, YD; Li, J",SCIENCE IN CHINA SERIES D-EARTH SCIENCES,2005,48,6,10.1360/03yd0264,222,Exclude,,
Web of Science,"Disease ecology at a crossroads: Man-made environments, human rights and perpetual development utopias",Pedersen,"Pedersen, D",SOCIAL SCIENCE & MEDICINE,1996,43,5,10.1016/0277-9536(96)00119-0,223,Exclude,,
Web of Science,Valuing ecosystem benefits in a dynamic world,Cornell,"Cornell, Sarah",CLIMATE RESEARCH,2010,45,1,10.3354/cr00843,224,Exclude,,
Web of Science,"Links between the built environment, climate and population health: Interdisciplinary environmental change research in New York City",Rosenthal et al.,"Rosenthal, Joyce Klein; Sclar, Elliott D.; Kinney, Patrick L.; Knowlton, Kim; Crauderueff, Robert; Brandt-Rauf, Paul W.",ANNALS ACADEMY OF MEDICINE SINGAPORE,2007,36,10,NA,225,Exclude,,
Web of Science,Geomorphology and Earth system science,Dadson et al.,"Dadson, Simon",PROGRESS IN PHYSICAL GEOGRAPHY,2010,34,3,10.1177/0309133310365031,226,Exclude,,
Web of Science,Modelling environmental variables for geohazards and georesources assessment to support sustainable land-use decisions in Zaragoza (Spain),Lamelas et al.,"Lamelas, M. T.; Hoppe, A.; de la Riva, J.; Marinoni, O.",GEOMORPHOLOGY,2009,111,2-Jan,10.1016/j.geomorph.2008.10.021,227,Exclude,,
Web of Science,The Sustainability Cycle and Loop: Models for a more unified understanding of sustainability,Hay et al.,"Hay, Laura; Duffy, Alex; Whitfield, R. I.",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2014,133,NA,10.1016/j.jenvman.2013.11.048,228,Exclude,,
Web of Science,Soil-factorial models and earth-system science: A review,Bockheim et al.,"Bockheim, J. G.; Gennadiyev, A. N.",GEODERMA,2010,159,4-Mar,10.1016/j.geoderma.2010.09.005,229,Exclude,,
Web of Science,"Climate change: Conflict of observational science, theory, and politics",Gerhard,"Gerhard, LC",AAPG BULLETIN,2004,88,9,10.1306/03220403107,230,Exclude,,
Web of Science,Catalyzing action towards the sustainability of deltas,Brondizio et al.,"Brondizio, Eduardo S.; Foufoula-Georgiou, Efi; Szabo, Sylvia; Vogt, Nathan; Sebesvari, Zita; Renaud, Fabrice G.; Newton, Alice; Anthony, Edward; Mansur, Andressa V.; Matthews, Zoe; Hetrick, Scott; Costa, Sandra M.; Tessler, Zachary; Tejedor, Alejandro; Longjas, Anthony; Dearing, John A.",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2016,19,NA,10.1016/j.cosust.2016.05.001,231,Exclude,,
Web of Science,Analyzing Human-Landscape Interactions: Tools That Integrate,Zvoleff et al.,"Zvoleff, Alex; An, Li",ENVIRONMENTAL MANAGEMENT,2014,53,1,10.1007/s00267-012-0009-1,232,Follow Up,,Review
Web of Science,Impediments to Comprehensive Research on Climate Change and Health,McMichael et al.,"McMichael, Anthony J.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,2013,10,11,10.3390/ijerph10116096,233,Exclude,,
Web of Science,Data and models for exploring sustainability of human well-being in global environmental change,Deffuant et al.,"Deffuant, G.; Alvarez, I.; Barreteau, O.; de Vries, B.; Edmonds, B.; Gilbert, N.; Gotts, N.; Jabot, F.; Janssen, S.; Hilden, M.; Kolditz, O.; Murray-Rust, D.; Rouge, C.; Smits, P.",EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,2012,214,1,10.1140/epjst/e2012-01704-2,234,Exclude,,
Web of Science,Down to Earth: An illustration of life cycle inventory good practice with reference to the production of soil conditioning compost,Butler et al.,"Butler, John; Hooper, Paul",RESOURCES CONSERVATION AND RECYCLING,2010,55,2,10.1016/j.resconrec.2010.08.004,235,Exclude,,
Web of Science,An evolving research agenda for human-coastal systems,Lazarus et al.,"Lazarus, Eli D.; Ellis, Michael A.; Murray, A. Brad; Hall, Damon M.",GEOMORPHOLOGY,2016,256,NA,10.1016/j.geomorph.2015.07.043,236,Exclude,,
Web of Science,Amplification of El Nino by cloud longwave coupling to atmospheric circulation,Raedel et al.,"Raedel, Gaby; Mauritsen, Thorsten; Stevens, Bjorn; Dommenget, Dietmar; Matei, Daniela; Bellomo, Katinka; Clement, Amy",NATURE GEOSCIENCE,2016,9,2,10.1038/NGEO2630,237,Exclude,,
Web of Science,An analysis of a feed-in tariff in Taiwan's electricity market,Chang et al.,"Chang, Ming-Chung; Hu, Jin-Li; Han, Tsung-Fu",INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,2013,44,1,10.1016/j.ijepes.2012.08.038,238,Exclude,,
Web of Science,A GeoAgent-based framework for knowledge-oriented representation: Embracing social rules in GIS,Yu et al.,"Yu, Chaoqing; Peuquet, Donna J.",INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2009,23,7,10.1080/13658810701602104,239,Exclude,,
Web of Science,A new vision of the knowledge economy,Lin et al.,"Lin, Brian Chi-ang",JOURNAL OF ECONOMIC SURVEYS,2007,21,3,NA,240,Exclude,,
Web of Science,Responses of higher plants to abiotic stresses and agricultural sustainable development,Wu et al.,"Wu, Gang; Zhang, Chuang; Chu, Li-Ye; Shao, Hong-Bo",JOURNAL OF PLANT INTERACTIONS,2007,2,3,10.1080/17429140701586357,241,Exclude,,
Web of Science,Spectroscopic studies of ozone - The earth's UV filter,Mason et al.,"Mason, NJ; Pathak, SK",CONTEMPORARY PHYSICS,1997,38,4,10.1080/001075197182360,242,Exclude,,
Web of Science,Social-Ecological Predictors of Global Invasions and Extinctions,Lotz et al.,"Lotz, Aaron; Allen, Craig R.",ECOLOGY AND SOCIETY,2013,18,3,10.5751/ES-05550-180315,243,Exclude,,
Web of Science,"Evaluating sustainability of wetland system: A case study in East Dongting Lake Area, China",Wang et al.,"Wang, Yaxin; Cheng, Shi; Ju, Hongbo; Zhang, Huaiqing; Jiang, Dong; Zhuang, Dafang",AFRICAN JOURNAL OF AGRICULTURAL RESEARCH,2011,6,28,10.5897/AJAR11.1268,244,Exclude,,
Web of Science,"Modeling sustainability: population, inequality, consumption, and bidirectional coupling of the Earth and Human Systems",Motesharrei et al.,"Motesharrei, Safa; Rivas, Jorge; Kalnay, Eugenia; Asrar, Ghassem R.; Busalacchi, Antonio J.; Cahalan, Robert F.; Cane, Mark A.; Colwell, Rita R.; Feng, Kuishuang; Franklin, Rachel S.; Hubacek, Klaus; Miralles-Wilhelm, Fernando; Miyoshi, Takemasa; Ruth, Matthias; Sagdeev, Roald; Shirmohammadi, Adel; Shukla, Jagadish; Srebric, Jelena; Yakovenko, Victor M.; Zeng, Ning",NATIONAL SCIENCE REVIEW,2016,3,4,10.1093/nsr/nww081,245,Follow Up,,Commentary
Web of Science,"The most resilient show on earth: The circus as a model for viewing identity, change, and chaos",Loring et al.,"Loring, Philip A.",ECOLOGY AND SOCIETY,2007,12,1,NA,246,Exclude,,
Web of Science,Canada's Model Forest Program,LaPierre,"LaPierre, L",FORESTRY CHRONICLE,2002,78,5,10.5558/tfc78613-5,247,Exclude,,
Web of Science,PSYCHOMOTOR PERFORMANCE DURING A 28 DAY HEAD-DOWN TILT WITH AND WITHOUT LOWER-BODY NEGATIVE-PRESSURE,Pavyletraon et al.,"PAVYLETRAON, A; DEFENEYROLS, AR; CORNAC, A; ABDESEELAM, R; NUYGEN, D; LAZERGES, M; GUELL, A; BES, A",ACTA ASTRONAUTICA,1994,32,4,NA,248,Exclude,,
Web of Science,"Personalized medicine beyond genomics: alternative futures in big data-proteomics, environtome and the social proteome",Ozdemir et al.,"Ozdemir, Vural; Dove, Edward S.; Gursoy, Ulvi K.; Sardas, Semra; Yildirim, Arif; Yilmaz, Senay Gorucu; Barlas, I. Omer; Gungor, Kivanc; Mete, Alper; Srivastava, Sanjeeva",JOURNAL OF NEURAL TRANSMISSION,2017,124,1,10.1007/s00702-015-1489-y,249,Exclude,,
Web of Science,The evolution of Earth Observation satellites in Europe and its impact on the performance of emergency response services,Denis et al.,"Denis, Gil; de Boissezon, Helene; Hosford, Steven; Pasco, Xavier; Montfort, Bruno; Ranera, Franck",ACTA ASTRONAUTICA,2016,127,NA,10.1016/j.actaastro.2016.06.012,250,Exclude,,
Web of Science,Food: From Commodity to Commons,Rundgren et al.,"Rundgren, Gunnar",JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,2016,29,1,10.1007/s10806-015-9590-7,251,Exclude,,
Web of Science,Deforestation scenarios for the Bolivian lowlands,Tejada et al.,"Tejada, Graciela; Dalla-Nora, Eloi; Cordoba, Diana; Lafortezza, Raffaele; Ovando, Alex; Assis, Talita; Aguiar, Ana Paula",ENVIRONMENTAL RESEARCH,2016,144,NA,10.1016/j.envres.2015.10.010,252,Exclude,,
Web of Science,"Planning, Development and Management of Sustainable Cities: A Commentary from the Guest Editors",Yigitcanlar et al.,"Yigitcanlar, Tan; Kamruzzaman, Md.",SUSTAINABILITY,2015,7,11,10.3390/su71114677,253,Exclude,,
Web of Science,HELGA: a heterogeneous encoding lifelike genetic algorithm for population evolution modeling and simulation,Patrascu et al.,"Patrascu, Monica; Stancu, Alexandra Florentina; Pop, Florin",SOFT COMPUTING,2014,18,12,10.1007/s00500-014-1401-y,254,Exclude,,
Web of Science,"Measuring individual locomotor rhythms in honey bees, paper wasps and other similar-sized insects",Giannoni-Guzman et al.,"Giannoni-Guzman, Manuel A.; Avalos, Arian; Perez, Jaime Marrero; Loperena, Eduardo J. Otero; Kayim, Mehmet; Medina, Jose Alejandro; Massey, Steve E.; Kence, Meral; Kence, Aykut; Giray, Tugrul; Agosto-Rivera, Jose L.",JOURNAL OF EXPERIMENTAL BIOLOGY,2014,217,8,10.1242/jeb.096180,255,Exclude,,
Web of Science,A modified impulse-response representation of the global near-surface air temperature and atmospheric concentration response to carbon dioxide emissions,Millar et al.,"Millar, Richard J.; Nicholls, Zebedee R.; Friedlingstein, Pierre; Allen, Myles R.",ATMOSPHERIC CHEMISTRY AND PHYSICS,2017,17,11,10.5194/acp-17-7213-2017,256,Exclude,,
Web of Science,Regional integrated environmental modeling system: development and application,Wang et al.,"Wang, Shuyu; Fu, Congbin; Wei, Helin; Qian, Yun; Xiong, Zhe; Feng, Jinming; Zhao, Deming; Dan, Li; Han, Zhiwei; Su, Bingkai; Zhao, Ming; Zhang, Yaocun; Tang, Jianping; Liu, Hongnian; Wu, Jian; Zeng, Xinmin; Chen, Min; Wang, Lizhi",CLIMATIC CHANGE,2015,129,4-Mar,10.1007/s10584-013-0973-3,257,Exclude,,Climate only
Web of Science,The perfect boring situation-Addressing the experience of monotony during crewed deep space missions through habitability design,Peldszus et al.,"Peldszus, Regina; Dalke, Hilary; Pretlove, Stephen; Welch, Chris",ACTA ASTRONAUTICA,2014,94,1,10.1016/j.actaastro.2013.04.024,258,Exclude,,
Web of Science,Climate change and skin,Balato et al.,"Balato, N.; Ayala, F.; Megna, M.; Balato, A.; Patruno, C.",GIORNALE ITALIANO DI DERMATOLOGIA E VENEREOLOGIA,2013,148,1,NA,259,Exclude,,
Web of Science,Soil Architecture and Physicochemical Functions: An Introduction,de Jonge et al.,"de Jonge, L. W.; Moldrup, P.; Vendelboe, A. L.; Tuller, M.; Wildenschild, D.",VADOSE ZONE JOURNAL,2012,11,1,10.2136/vzj2011.0185,260,Exclude,,
Web of Science,Establishing a sustainable and cross-boundary geospatial cyberinfrastructure to enable polar research,Yang et al.,"Yang, Chaowei; Nebert, Doug; Taylor, D. R. Fraser",COMPUTERS & GEOSCIENCES,2011,37,11,10.1016/j.cageo.2011.06.009,261,Exclude,,
Web of Science,"Ethics, Narrative, and Agriculture: Transforming Agricultural Practice through Ecological Imagination",Sanford et al.,"Sanford, A. Whitney",JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,2011,24,3,10.1007/s10806-010-9246-6,262,Exclude,,
Web of Science,Islamic perspective of creativity: A model for teachers of social studies as leaders,Al-karasneh et al.,"Al-karasneh, Samih Mahmoud; Saleh, Ali Mohammad Jubran",INNOVATION AND CREATIVITY IN EDUCATION,2010,2,2,10.1016/j.sbspro.2010.03.036,263,Exclude,,
Web of Science,MATHEMATICAL PREDICTIVE MODELS FOR POPULATION ESTIMATION IN URBAN AREAS USING SPACE PRODUCTS AND GIS TECHNOLOGY,Algarni,"ALGARNI, AM",MATHEMATICAL AND COMPUTER MODELLING,1995,22,1,10.1016/0895-7177(95)00104-A,264,Exclude,,
Web of Science,Behavioral models of climate change adaptation and mitigation in land-based sectors,Brown et al.,"Brown, Calum; Alexander, Peter; Holzhauer, Sascha; Rounsevell, Mark D. A.",WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,2017,8,2,10.1002/wcc.448,265,Exclude,,Social only
Web of Science,Reflecting on 50 years of geoengineering research,Caldeira et al.,"Caldeira, Ken; Bala, Govindasamy",EARTHS FUTURE,2017,5,1,10.1002/2016EF000454,266,Exclude,,
Web of Science,Infectious Disease Surveillance in the Big Data Era: Towards Faster and Locally Relevant Systems,Simonsen et al.,"Simonsen, Lone; Gog, Julia R.; Olson, Don; Viboud, Cecile",JOURNAL OF INFECTIOUS DISEASES,2016,214,NA,10.1093/infdis/jiw376,267,Exclude,,
Web of Science,International progress and evaluation on interactive coupling effects between urbanization and the eco-environment,Fang et al.,Fang Chuanglin; Liu Haimeng; Li Guangdong,JOURNAL OF GEOGRAPHICAL SCIENCES,2016,26,8,10.1007/s11442-016-1317-9,268,Exclude,,
Web of Science,Reduced cellular immune response in social insect lineages,Lopez-Uribe et al.,"Lopez-Uribe, Margarita M.; Sconiers, Warren B.; Frank, Steven D.; Dunn, Robert R.; Tarpy, David R.",BIOLOGY LETTERS,2016,12,3,10.1098/rsbl.2015.0984,269,Exclude,,
Web of Science,"Using Linked Data in a heterogeneous Sensor Web: challenges, experiments and lessons learned",Yu et al.,"Yu, Liang; Liu, Yong",INTERNATIONAL JOURNAL OF DIGITAL EARTH,2015,8,1,10.1080/17538947.2013.839007,270,Exclude,,
Web of Science,Satellite Remote Sensing in Support of an Integrated Ocean Observing System,Muller-Karger et al.,"Muller-Karger, Frank; Roffer, Mitchell; Walker, Nan; Oliver, Matt; Schofield, Oscar; Abbott, Mark; Graber, Hans; Leben, Robert; Goni, Gustavo",IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,2013,1,4,10.1109/MGRS.2013.2289656,271,Exclude,,
Web of Science,Agent-based land-use models and farming games on the social web-Fertile ground for a collaborative future?,Gonzales et al.,"Gonzales, Rodolphe; Cardille, Jeffrey A.; Parrott, Lael",ECOLOGICAL INFORMATICS,2013,15,NA,10.1016/j.ecoinf.2013.02.002,272,Exclude,,
Web of Science,Post-genomics research in Eucalyptus in the near future,Hibino et al.,"Hibino, Takashi",PLANT BIOTECHNOLOGY,2009,26,1,10.5511/plantbiotechnology.26.109,273,Exclude,,
Web of Science,The origin of climate changes,Delecluse,"Delecluse, P.",REVUE SCIENTIFIQUE ET TECHNIQUE-OFFICE INTERNATIONAL DES EPIZOOTIES,2008,27,2,10.20506/rst.27.2.1810,274,Exclude,,
