temp,year,var,model,scenario,ens,yrs,regrid
288.6687622,2043,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.7921143,2044,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.8191223,2045,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.8977661,2046,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0691223,2047,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0090332,2048,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9624023,2049,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0193481,2050,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0430603,2051,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
288.9979248,2052,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1473999,2053,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1115417,2054,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1248169,2055,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.0932922,2056,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.138031,2057,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.31073,2058,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3800659,2059,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4497986,2060,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3992004,2061,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3543396,2062,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3515015,2063,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.2620544,2064,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3896179,2065,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.5087891,2066,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.1707458,2067,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.3138428,2068,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4446716,2069,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.6690369,2070,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
289.4958191,2071,tas,ACCESS1-3,rcp45,r1i1p1,2006-2100,r360x180.nc
